"1", "000001 (аннулировано 30.08.2012)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "О509НВ161RUS", "5 лет", "13.09.2011", "13.09.2016"
"2", "000002 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода ", "Фабия", "Е943НМ161RUS", "5 лет", "13.09.2011", "13.09.2016"
"3", "000003 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "О591НВ161RUS", "5 лет", "13.09.2011", "13.09.2016"
"4", "000004 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "О628НВ161RUS", "5 лет", "13.09.2011", "13.09.2016"
"5", "000005 (аннулировано 30.08.2012)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "Х643НО161RUS", "5 лет", "13.09.2011", "13.09.2016"
"6", "000006 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "Х688НО161RUS", "5 лет", "13.09.2011", "13.09.2016"
"7", "000007 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "Х597НО161RUS", "5 лет", "13.09.2011", "13.09.2016"
"8", "000008 (аннулировано 30.08.2012)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "Х579НО161RUS", "5 лет", "13.09.2011", "13.09.2016"
"9", "000009 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "X563НО161RUS", "5 лет", "13.09.2011", "13.09.2016"
"10", "000010 (аннулировано 04.12.2013)", "Общество с ограниченной ответственностью «Южная Топливная Компания» ООО «ЮТК»  г. Ростов-на-Дону ул. Планетная, 8 ", "Шкода", "Фабия", "Е934НМ161RUS", "5 лет", "13.09.2011", "13.09.2016"
